id_client,age,sexe,revenu_mensuel,profession,nb_enfants,montant_pret_demande,duree_pret_mois,historique_remboursement,zone,statut_defaut
101,41,F,105191,Étudiant,1,101978,3,Moyen,Rurale,0
102,58,H,64032,Artisan,1,122675,3,Bon,Urbaine,0
103,49,H,91686,Retraité,1,152520,12,Bon,Semi-urbaine,0
104,49,H,191485,Commerçant,4,218017,12,Bon,Urbaine,1
105,53,H,159682,Retraité,3,194596,3,Bon,Semi-urbaine,0
106,30,F,106474,Artisan,0,139399,3,Bon,Semi-urbaine,1
107,39,F,89222,Salarié,2,115108,9,Bon,Semi-urbaine,0
108,64,H,122646,Commerçant,3,62150,3,Bon,Urbaine,0
109,59,F,47444,Commerçant,2,251591,6,Mauvais,Urbaine,1
110,27,F,111776,Agriculteur,5,202392,12,Bon,Rurale,1
111,52,F,40994,Étudiant,0,244399,12,Bon,Semi-urbaine,0
112,60,H,50879,Salarié,1,122418,6,Mauvais,Urbaine,1
113,61,H,50575,Artisan,6,84346,12,Moyen,Semi-urbaine,1
114,34,F,128701,Commerçant,5,49040,12,Bon,Rurale,1
115,47,H,163021,Salarié,1,242185,9,Bon,Rurale,1
116,18,F,169025,Salarié,4,275847,3,Moyen,Semi-urbaine,0
117,61,H,149516,Artisan,5,92922,12,Bon,Urbaine,0
118,65,H,96563,Retraité,5,181926,6,Moyen,Semi-urbaine,0
119,34,H,60407,Étudiant,2,157216,9,Bon,Urbaine,0
120,65,H,183336,Commerçant,4,111876,9,Bon,Semi-urbaine,0
121,49,F,187470,Artisan,1,30530,6,Moyen,Rurale,0
122,18,F,97528,Retraité,4,128385,3,Moyen,Rurale,0
123,29,H,46590,Retraité,5,112523,3,Mauvais,Semi-urbaine,1
124,56,F,143937,Salarié,2,179402,3,Bon,Semi-urbaine,0
125,34,F,119722,Agriculteur,5,256333,6,Mauvais,Semi-urbaine,0
126,60,F,124618,Artisan,0,245816,6,Mauvais,Rurale,1
127,28,H,195388,Salarié,5,290565,3,Moyen,Urbaine,0
128,33,F,78533,Artisan,0,264975,6,Moyen,Rurale,1
129,63,H,79356,Agriculteur,3,64199,12,Moyen,Rurale,0
130,40,F,53757,Salarié,0,288221,3,Moyen,Urbaine,1
131,42,F,196559,Retraité,5,234085,3,Moyen,Rurale,0
132,26,F,116013,Commerçant,3,278368,6,Bon,Semi-urbaine,1
133,41,H,48185,Agriculteur,5,88096,12,Bon,Urbaine,1
134,26,F,136539,Retraité,1,107326,12,Mauvais,Semi-urbaine,0
135,26,H,156063,Retraité,5,54491,3,Mauvais,Semi-urbaine,1
136,58,F,77243,Salarié,6,73410,3,Moyen,Rurale,0
137,34,F,96553,Salarié,4,269326,6,Moyen,Rurale,0
