id_client,age,sexe,revenu_mensuel,profession,nb_enfants,montant_pret_demande,duree_pret_mois,historique_remboursement,zone,statut_defaut
1,42,F,40612,Salarié,4,284766,12,Mauvais,Rurale,1
2,40,H,162300,Agriculteur,2,103267,3,Moyen,Rurale,1
3,52,H,111303,Commerçant,5,68662,9,Bon,Urbaine,0
4,38,H,174840,Artisan,3,166572,3,Mauvais,Semi-urbaine,1
5,23,F,193909,Commerçant,4,288776,9,Bon,Rurale,0
6,22,H,178769,Agriculteur,1,104708,12,Bon,Rurale,1
7,49,H,109022,Étudiant,2,95436,9,Mauvais,Semi-urbaine,0
8,56,F,146651,Commerçant,4,231799,9,Moyen,Rurale,0
9,29,H,190634,Retraité,2,279839,3,Bon,Urbaine,1
10,20,H,171715,Retraité,3,174511,6,Mauvais,Semi-urbaine,1
11,44,F,148112,Artisan,5,217363,3,Bon,Urbaine,0
12,58,F,79906,Agriculteur,0,172101,3,Moyen,Rurale,0
13,39,F,46303,Commerçant,6,106733,6,Bon,Semi-urbaine,1
14,52,H,36998,Commerçant,5,128839,3,Bon,Rurale,1
15,25,H,188729,Commerçant,1,126978,3,Bon,Semi-urbaine,0
16,61,H,172668,Artisan,4,83215,9,Bon,Urbaine,0
17,40,F,77269,Commerçant,4,274911,3,Moyen,Semi-urbaine,1
18,30,F,123993,Retraité,3,118827,6,Mauvais,Urbaine,1
19,28,H,119735,Étudiant,2,91453,12,Moyen,Urbaine,1
20,44,F,123625,Artisan,6,161560,6,Moyen,Urbaine,0
21,23,F,41979,Étudiant,2,100693,6,Moyen,Rurale,1
22,36,F,184737,Retraité,6,99386,9,Bon,Rurale,0
23,23,H,185864,Agriculteur,5,205322,6,Bon,Semi-urbaine,0
24,63,F,38269,Artisan,6,249271,3,Bon,Urbaine,0
25,28,F,168300,Artisan,4,30036,3,Bon,Rurale,0
26,21,F,79283,Étudiant,5,73760,6,Mauvais,Rurale,1
27,44,F,30889,Agriculteur,0,31236,3,Bon,Semi-urbaine,1
28,37,F,77768,Commerçant,3,237983,3,Bon,Rurale,0
29,25,F,64975,Retraité,4,211955,3,Mauvais,Rurale,1
30,20,H,83932,Retraité,2,195000,9,Mauvais,Urbaine,1
31,62,F,198858,Artisan,5,258296,9,Mauvais,Urbaine,0
32,55,F,32332,Agriculteur,1,172277,9,Bon,Rurale,1
33,39,H,40801,Salarié,1,108337,9,Bon,Semi-urbaine,0
34,25,F,92837,Commerçant,2,124155,3,Bon,Rurale,0
35,24,H,177018,Artisan,3,206727,9,Bon,Urbaine,0
36,45,H,109142,Salarié,5,111612,6,Moyen,Rurale,0
37,58,H,47258,Commerçant,1,145898,3,Bon,Urbaine,1
38,51,F,147583,Artisan,6,143903,12,Bon,Urbaine,1
39,34,H,143042,Agriculteur,2,90299,3,Mauvais,Semi-urbaine,0
40,51,F,82871,Commerçant,3,238642,9,Bon,Urbaine,1
41,31,H,57428,Agriculteur,3,228197,9,Moyen,Urbaine,0
42,56,F,68902,Étudiant,3,251899,12,Moyen,Rurale,1
43,49,H,172294,Étudiant,1,35088,9,Moyen,Semi-urbaine,1
44,38,H,167653,Agriculteur,6,164680,6,Mauvais,Semi-urbaine,0
45,63,F,47395,Commerçant,4,50665,3,Bon,Urbaine,1
46,46,F,72123,Agriculteur,6,271557,9,Moyen,Semi-urbaine,0
47,54,H,165790,Étudiant,0,253538,6,Bon,Semi-urbaine,0
48,48,F,189234,Étudiant,1,40738,3,Moyen,Rurale,0
49,34,F,47202,Artisan,6,167367,9,Moyen,Rurale,1
50,21,H,198030,Agriculteur,1,180516,9,Bon,Urbaine,0
51,27,F,187801,Retraité,0,109363,9,Bon,Semi-urbaine,0
52,47,H,56602,Artisan,6,109360,3,Bon,Semi-urbaine,0
53,38,H,173954,Retraité,2,132222,12,Moyen,Rurale,0
54,21,F,191043,Retraité,2,95181,9,Moyen,Urbaine,1
55,42,F,61864,Étudiant,6,129157,3,Moyen,Rurale,0
56,30,F,123468,Retraité,0,53404,3,Bon,Urbaine,1
57,60,H,90202,Commerçant,6,293409,12,Moyen,Urbaine,0
58,54,F,52028,Commerçant,3,62989,3,Bon,Urbaine,1
59,19,F,143006,Retraité,3,45799,12,Mauvais,Rurale,1
60,23,F,48436,Commerçant,2,45402,9,Bon,Urbaine,1
61,32,F,48485,Étudiant,1,139040,3,Bon,Semi-urbaine,1
62,25,H,106877,Salarié,5,42923,6,Mauvais,Urbaine,1
63,48,F,97690,Agriculteur,0,139114,9,Bon,Rurale,0
64,53,F,78246,Étudiant,0,83781,9,Bon,Urbaine,1
65,32,F,163256,Agriculteur,1,126439,9,Bon,Semi-urbaine,0
66,26,H,133232,Commerçant,5,68383,6,Bon,Semi-urbaine,0
67,27,F,108126,Retraité,2,74331,6,Bon,Rurale,0
68,51,H,128679,Artisan,0,248746,9,Bon,Rurale,0
69,48,H,78616,Commerçant,2,88803,6,Moyen,Rurale,1
70,29,F,143171,Agriculteur,1,267736,9,Mauvais,Urbaine,1
71,58,H,156691,Agriculteur,2,30966,12,Moyen,Urbaine,0
72,25,F,172923,Étudiant,1,252407,12,Bon,Rurale,1
73,32,F,103423,Retraité,0,93350,9,Mauvais,Urbaine,0
74,43,F,146545,Commerçant,5,162439,9,Bon,Semi-urbaine,1
75,56,H,39293,Commerçant,6,167618,9,Moyen,Urbaine,1
76,33,H,47850,Artisan,6,181882,9,Moyen,Semi-urbaine,1
77,31,H,137689,Retraité,4,241504,9,Bon,Rurale,0
78,26,H,62321,Retraité,0,229977,12,Moyen,Urbaine,1
79,37,F,195704,Artisan,5,247635,6,Bon,Semi-urbaine,0
80,49,H,146387,Salarié,1,289796,3,Mauvais,Urbaine,0
81,48,F,32650,Étudiant,0,72662,12,Bon,Urbaine,0
82,18,F,197870,Retraité,2,148849,6,Moyen,Rurale,0
83,45,F,116558,Artisan,1,203379,12,Moyen,Semi-urbaine,1
84,46,H,167405,Salarié,1,139505,6,Bon,Rurale,0
85,49,F,87713,Agriculteur,3,137095,3,Mauvais,Urbaine,0
86,23,H,125318,Commerçant,5,120897,6,Moyen,Semi-urbaine,0
87,50,F,122555,Artisan,3,58280,12,Moyen,Rurale,0
88,48,H,118393,Salarié,0,52967,3,Bon,Urbaine,0
89,18,H,46695,Artisan,5,146479,12,Moyen,Urbaine,1
90,39,H,188952,Commerçant,6,197263,9,Moyen,Rurale,0
91,51,H,79841,Salarié,0,139886,9,Bon,Urbaine,0
92,64,F,111849,Étudiant,6,231678,9,Bon,Semi-urbaine,0
93,37,H,32413,Artisan,3,259742,3,Mauvais,Rurale,1
94,47,F,60965,Commerçant,0,156429,3,Mauvais,Urbaine,1
95,31,F,190630,Commerçant,6,253837,12,Bon,Urbaine,0
96,32,H,103137,Salarié,2,257983,3,Moyen,Rurale,0
97,30,F,145810,Étudiant,4,272261,9,Bon,Urbaine,0
98,63,H,75239,Retraité,3,160429,6,Bon,Semi-urbaine,1
99,18,F,43047,Commerçant,3,172860,3,Mauvais,Semi-urbaine,1
100,61,F,88080,Retraité,6,155900,3,Moyen,Semi-urbaine,0
