id_client,age,sexe,revenu_mensuel,profession,nb_enfants,montant_pret_demande,duree_pret_mois,historique_remboursement,zone,statut_defaut
501,31,F,121951,Artisan,2,234783,6,Bon,Semi-urbaine,0
502,25,H,189532,Salarié,5,174977,3,Bon,Urbaine,0
503,36,F,36400,Salarié,6,48325,12,Mauvais,Urbaine,1
504,58,H,42648,Commerçant,3,187686,12,Bon,Urbaine,1
505,42,H,140296,Salarié,6,52891,9,Bon,Rurale,0
506,61,H,192658,Retraité,5,37297,3,Mauvais,Semi-urbaine,0
507,55,F,103300,Commerçant,0,124726,3,Mauvais,Semi-urbaine,0
508,48,F,134893,Agriculteur,0,285869,3,Mauvais,Urbaine,1
509,60,F,47395,Agriculteur,1,92095,6,Bon,Semi-urbaine,1
510,34,H,174021,Commerçant,4,234729,6,Moyen,Semi-urbaine,0
511,26,H,110404,Artisan,4,281559,12,Moyen,Rurale,1
512,58,H,46818,Salarié,6,292972,6,Bon,Semi-urbaine,1
513,50,F,101400,Salarié,6,229542,9,Moyen,Urbaine,0
514,37,F,81143,Commerçant,1,244224,6,Bon,Rurale,0
515,33,F,167038,Salarié,3,64694,12,Bon,Urbaine,1
516,58,H,167387,Salarié,2,34521,12,Bon,Urbaine,1
517,21,F,141559,Salarié,3,229133,3,Bon,Rurale,0
518,54,H,52599,Commerçant,1,154040,6,Mauvais,Semi-urbaine,1
519,26,F,157522,Agriculteur,5,69152,9,Bon,Urbaine,0
520,18,H,145813,Salarié,2,40659,12,Bon,Semi-urbaine,1
521,59,H,40086,Agriculteur,5,34836,12,Bon,Rurale,0
522,61,F,163464,Agriculteur,2,227670,3,Bon,Rurale,1
523,28,H,195378,Commerçant,6,79658,6,Moyen,Semi-urbaine,0
524,53,F,114335,Salarié,1,61128,9,Mauvais,Rurale,1
525,63,H,58164,Artisan,6,42015,12,Bon,Rurale,1
526,20,H,72061,Artisan,5,134192,9,Moyen,Semi-urbaine,0
527,21,H,36229,Étudiant,6,223758,9,Bon,Semi-urbaine,1
528,35,F,128150,Agriculteur,0,261196,3,Mauvais,Urbaine,1
529,28,F,138749,Agriculteur,4,161665,9,Moyen,Rurale,0
530,65,H,166240,Commerçant,5,250472,3,Moyen,Semi-urbaine,0
531,22,H,149443,Retraité,1,230214,6,Bon,Semi-urbaine,1
532,40,F,102986,Salarié,1,73881,12,Moyen,Rurale,1
533,56,H,176873,Retraité,6,53108,6,Bon,Semi-urbaine,0
534,44,H,175182,Étudiant,0,133168,9,Moyen,Rurale,0
535,41,F,130684,Agriculteur,0,131143,9,Mauvais,Rurale,0
536,20,F,144383,Étudiant,5,35420,6,Moyen,Rurale,0
537,35,F,161178,Salarié,4,111361,3,Bon,Semi-urbaine,0
538,43,F,102997,Salarié,1,294291,6,Moyen,Semi-urbaine,0
539,49,H,83828,Salarié,1,126557,12,Bon,Urbaine,1
540,43,F,140821,Retraité,6,44464,6,Moyen,Semi-urbaine,0
541,37,H,178731,Agriculteur,2,284904,12,Bon,Semi-urbaine,1
542,40,H,150010,Salarié,1,53224,3,Bon,Rurale,1
543,37,F,55982,Commerçant,0,258149,6,Bon,Rurale,1
544,61,F,166109,Artisan,1,110913,3,Moyen,Urbaine,1
545,58,F,76973,Commerçant,4,208378,12,Moyen,Semi-urbaine,1
546,44,H,71323,Salarié,2,184360,12,Mauvais,Semi-urbaine,0
547,49,H,153673,Salarié,5,274788,9,Mauvais,Semi-urbaine,0
548,37,H,139704,Artisan,2,261982,6,Moyen,Rurale,1
