id_client,age,sexe,revenu_mensuel,profession,nb_enfants,montant_pret_demande,duree_pret_mois,historique_remboursement,zone,statut_defaut
301,22,H,103253,Commerçant,2,275279,9,Moyen,Urbaine,0
302,27,F,45364,Salarié,2,163137,12,Bon,Urbaine,1
303,59,H,85652,Commerçant,4,105495,6,Mauvais,Urbaine,1
304,18,F,140318,Étudiant,4,97722,9,Moyen,Semi-urbaine,0
305,42,H,108181,Commerçant,3,171389,6,Mauvais,Rurale,1
306,37,H,126448,Agriculteur,3,43769,12,Mauvais,Rurale,0
307,36,F,152737,Étudiant,6,132055,6,Mauvais,Rurale,0
308,42,F,81862,Artisan,3,168799,12,Bon,Rurale,0
309,29,H,84460,Salarié,2,87287,3,Bon,Rurale,0
310,30,F,137558,Agriculteur,5,94972,6,Bon,Semi-urbaine,1
311,46,H,122808,Artisan,6,258778,12,Bon,Urbaine,1
312,53,F,64345,Commerçant,0,232509,12,Bon,Semi-urbaine,1
313,44,H,107681,Étudiant,1,188006,9,Moyen,Semi-urbaine,0
314,39,H,67866,Commerçant,0,207892,9,Bon,Urbaine,0
315,60,F,98557,Étudiant,1,265785,12,Bon,Urbaine,0
316,64,H,111912,Étudiant,0,292679,9,Mauvais,Urbaine,1
317,36,H,94444,Commerçant,5,116271,12,Bon,Rurale,0
318,62,H,145305,Retraité,6,44288,12,Bon,Urbaine,0
319,23,F,84699,Salarié,5,231243,6,Bon,Semi-urbaine,0
320,41,H,141532,Retraité,6,34387,12,Mauvais,Semi-urbaine,0
321,40,F,153968,Retraité,6,275134,9,Bon,Urbaine,0
322,32,F,114820,Retraité,0,225199,12,Moyen,Semi-urbaine,0
323,33,H,56716,Artisan,5,125534,6,Mauvais,Semi-urbaine,1
324,53,H,38630,Artisan,3,274840,12,Bon,Urbaine,1
325,22,F,64478,Retraité,0,242309,9,Bon,Rurale,0
326,48,F,30753,Agriculteur,4,184751,12,Bon,Semi-urbaine,1
327,22,H,52563,Salarié,3,246275,12,Moyen,Semi-urbaine,1
328,32,F,157062,Artisan,4,30345,12,Moyen,Semi-urbaine,1
329,43,F,133516,Retraité,6,188322,12,Moyen,Rurale,1
330,55,H,120874,Commerçant,3,260241,12,Bon,Semi-urbaine,0
331,39,H,128758,Commerçant,4,207658,6,Bon,Rurale,1
332,24,H,188320,Commerçant,1,123840,3,Moyen,Semi-urbaine,0
333,45,H,105874,Artisan,3,193322,3,Bon,Urbaine,1
334,24,H,154151,Retraité,2,190045,9,Bon,Semi-urbaine,0
335,39,F,47776,Commerçant,6,183988,6,Mauvais,Rurale,1
336,53,H,128989,Commerçant,3,51203,3,Moyen,Urbaine,0
337,36,F,45204,Commerçant,0,52598,6,Mauvais,Urbaine,1
338,23,H,35300,Retraité,4,100755,3,Bon,Urbaine,1
339,60,H,82892,Commerçant,3,256928,3,Bon,Semi-urbaine,1
340,50,H,171520,Commerçant,1,225303,12,Moyen,Urbaine,1
341,20,H,54709,Retraité,6,228254,9,Moyen,Rurale,1
342,54,F,110403,Agriculteur,4,77996,6,Moyen,Rurale,0
343,40,F,35495,Commerçant,0,105037,9,Moyen,Semi-urbaine,0
344,26,H,60364,Artisan,5,283705,6,Bon,Rurale,0
345,20,H,122090,Retraité,2,134912,3,Moyen,Rurale,0
346,34,F,79681,Retraité,0,157380,9,Moyen,Urbaine,1
347,42,F,38386,Retraité,2,151408,12,Bon,Rurale,1
348,28,F,42235,Retraité,2,71713,9,Moyen,Urbaine,1
349,35,H,76981,Salarié,2,89457,6,Bon,Semi-urbaine,0
350,22,F,104752,Retraité,5,52351,9,Bon,Semi-urbaine,0
351,29,F,91395,Étudiant,4,133771,3,Moyen,Urbaine,0
352,52,F,185491,Étudiant,2,211742,9,Bon,Urbaine,0
353,29,F,89781,Retraité,5,231868,3,Moyen,Urbaine,0
354,49,F,132840,Agriculteur,1,254848,12,Mauvais,Semi-urbaine,1
355,65,H,96243,Commerçant,5,112983,3,Bon,Semi-urbaine,0
356,27,F,76234,Artisan,2,250819,9,Moyen,Rurale,0
357,25,F,188662,Salarié,2,162356,9,Bon,Semi-urbaine,0
358,59,H,140592,Salarié,5,243215,3,Mauvais,Rurale,1
359,35,H,37685,Artisan,5,234480,9,Moyen,Semi-urbaine,1
360,65,F,181562,Agriculteur,6,43101,9,Bon,Rurale,0
361,24,H,188948,Artisan,5,97483,12,Bon,Rurale,1
362,27,F,96156,Artisan,2,147479,3,Bon,Semi-urbaine,0
363,52,H,110404,Agriculteur,4,103221,6,Bon,Rurale,0
364,19,F,153435,Commerçant,4,56498,6,Moyen,Semi-urbaine,0
365,34,H,109289,Salarié,1,275323,9,Bon,Urbaine,1
366,57,H,110331,Retraité,2,221518,6,Moyen,Semi-urbaine,0
367,43,F,195902,Agriculteur,0,249027,9,Mauvais,Rurale,1
368,42,H,142515,Agriculteur,6,252340,6,Bon,Urbaine,0
369,41,F,147931,Salarié,1,115075,12,Mauvais,Semi-urbaine,1
370,32,F,70461,Commerçant,4,263173,9,Bon,Semi-urbaine,0
371,35,F,60574,Commerçant,3,198852,9,Bon,Urbaine,0
372,59,F,197619,Agriculteur,1,113379,12,Mauvais,Urbaine,1
373,34,H,43366,Artisan,5,76792,12,Bon,Semi-urbaine,0
374,27,H,59633,Agriculteur,5,92776,12,Moyen,Urbaine,0
375,54,H,86860,Retraité,2,241267,6,Moyen,Semi-urbaine,0
376,39,H,199553,Artisan,2,122905,6,Mauvais,Urbaine,0
377,51,F,149496,Retraité,6,77602,9,Moyen,Rurale,0
378,21,H,121525,Agriculteur,3,148583,6,Bon,Rurale,0
379,41,H,61740,Salarié,1,134507,6,Moyen,Rurale,0
380,39,F,162200,Retraité,2,185184,3,Moyen,Semi-urbaine,1
381,35,H,161198,Étudiant,5,87749,9,Bon,Urbaine,0
382,51,F,140056,Salarié,4,207151,6,Mauvais,Rurale,0
383,64,H,156310,Agriculteur,0,74065,3,Mauvais,Urbaine,0
384,37,H,46439,Retraité,0,150457,6,Mauvais,Rurale,1
385,59,F,139766,Agriculteur,3,50780,6,Moyen,Rurale,0
386,44,H,82734,Commerçant,4,97798,9,Moyen,Rurale,0
387,46,F,167273,Artisan,3,202853,9,Moyen,Rurale,0
388,52,F,135208,Retraité,2,241598,9,Mauvais,Urbaine,0
389,63,F,108322,Artisan,3,98057,6,Bon,Urbaine,0
390,30,H,100957,Étudiant,6,295417,6,Moyen,Urbaine,0
391,25,F,95042,Artisan,1,90936,3,Moyen,Semi-urbaine,0
392,23,H,185000,Agriculteur,1,140028,9,Bon,Urbaine,0
393,26,F,180329,Étudiant,1,147324,12,Moyen,Urbaine,0
394,24,H,64144,Agriculteur,5,169308,9,Moyen,Rurale,0
395,63,F,173193,Commerçant,6,77365,12,Bon,Urbaine,1
396,33,F,142063,Étudiant,0,202076,3,Bon,Rurale,0
397,42,H,120405,Salarié,1,77077,9,Mauvais,Urbaine,1
398,57,H,67024,Retraité,4,207076,12,Mauvais,Semi-urbaine,0
399,42,F,152740,Salarié,0,242062,3,Mauvais,Rurale,1
400,26,F,116391,Salarié,4,111552,12,Mauvais,Urbaine,1
