id_client,age,sexe,revenu_mensuel,profession,nb_enfants,montant_pret_demande,duree_pret_mois,historique_remboursement,zone,statut_defaut
601,57,H,55029,Retraité,2,144524,3,Bon,Urbaine,1
602,36,F,159072,Artisan,2,146664,9,Moyen,Semi-urbaine,0
603,58,F,132952,Salarié,0,106340,12,Moyen,Semi-urbaine,1
604,51,F,99913,Étudiant,1,101668,3,Bon,Rurale,0
605,59,H,162520,Salarié,5,234284,9,Mauvais,Semi-urbaine,0
606,65,F,36552,Agriculteur,4,245313,3,Bon,Rurale,1
607,53,H,57615,Commerçant,6,206680,12,Moyen,Semi-urbaine,0
608,47,H,195394,Retraité,5,180395,12,Moyen,Rurale,0
609,64,H,119270,Salarié,3,109170,9,Bon,Rurale,0
610,49,F,196908,Étudiant,1,113922,3,Moyen,Semi-urbaine,0
611,28,F,39961,Commerçant,6,214731,9,Bon,Urbaine,1
612,44,F,188282,Étudiant,4,76719,12,Mauvais,Urbaine,1
613,48,H,177003,Retraité,2,83848,9,Bon,Semi-urbaine,0
614,37,H,119155,Artisan,1,228673,9,Moyen,Semi-urbaine,0
615,18,F,118793,Étudiant,3,137072,12,Bon,Semi-urbaine,1
616,38,F,142354,Artisan,1,113711,12,Bon,Urbaine,0
617,18,H,57372,Agriculteur,4,141063,3,Moyen,Rurale,0
618,19,H,129037,Agriculteur,0,250676,9,Moyen,Urbaine,0
619,21,H,58780,Agriculteur,4,85185,3,Mauvais,Semi-urbaine,0
620,23,H,77170,Salarié,3,106632,9,Mauvais,Rurale,1
621,54,H,114436,Salarié,6,98555,12,Bon,Semi-urbaine,0
622,26,F,154365,Artisan,0,125479,3,Bon,Urbaine,0
623,27,H,110107,Commerçant,5,131343,3,Moyen,Rurale,0
624,48,H,101932,Retraité,5,69208,9,Bon,Rurale,0
625,19,H,60175,Étudiant,4,276701,12,Bon,Rurale,1
626,34,H,40857,Agriculteur,6,195814,9,Moyen,Rurale,1
627,31,H,79493,Salarié,0,85202,3,Bon,Rurale,0
628,24,F,101635,Retraité,1,127947,12,Bon,Urbaine,1
629,55,H,161521,Étudiant,1,95184,9,Mauvais,Urbaine,0
630,34,F,109603,Agriculteur,1,86915,6,Mauvais,Semi-urbaine,0
631,34,H,58042,Agriculteur,4,291741,9,Moyen,Urbaine,0
632,30,H,88229,Agriculteur,3,133500,12,Mauvais,Semi-urbaine,1
633,41,F,172752,Agriculteur,0,244882,6,Mauvais,Semi-urbaine,0
634,42,F,169101,Étudiant,1,137054,9,Bon,Rurale,0
635,21,F,188520,Retraité,6,273270,3,Moyen,Urbaine,0
636,28,H,115252,Artisan,6,68349,12,Mauvais,Rurale,1
637,29,H,34388,Artisan,0,137997,12,Bon,Rurale,1
638,18,F,100821,Retraité,0,38018,3,Mauvais,Urbaine,0
639,21,F,111534,Retraité,0,62777,3,Mauvais,Semi-urbaine,1
640,58,F,117465,Étudiant,6,273001,3,Moyen,Semi-urbaine,1
641,64,F,135947,Salarié,6,43597,6,Bon,Rurale,0
642,30,F,43819,Commerçant,2,141965,9,Bon,Urbaine,1
643,34,H,35023,Commerçant,4,123187,12,Mauvais,Urbaine,1
644,57,F,107852,Retraité,3,293075,3,Moyen,Urbaine,0
645,20,F,181123,Salarié,6,163804,6,Moyen,Rurale,0
646,36,F,129046,Artisan,0,70364,12,Bon,Semi-urbaine,0
647,61,H,101876,Salarié,5,261992,12,Moyen,Rurale,0
648,52,F,119669,Commerçant,5,143729,12,Bon,Semi-urbaine,1
649,19,H,48691,Retraité,5,152676,12,Moyen,Rurale,1
650,23,F,107481,Retraité,3,274751,3,Bon,Semi-urbaine,0
651,48,F,192748,Artisan,1,148755,3,Bon,Urbaine,1
652,55,H,39072,Salarié,0,232417,9,Mauvais,Rurale,0
653,42,F,63778,Artisan,1,151130,3,Bon,Semi-urbaine,0
654,61,F,98032,Étudiant,1,185923,3,Mauvais,Semi-urbaine,0
655,33,H,150258,Commerçant,4,285357,9,Mauvais,Rurale,1
656,18,H,87903,Salarié,4,123913,9,Mauvais,Urbaine,1
657,58,H,129218,Salarié,2,233096,9,Bon,Urbaine,0
658,55,H,89710,Étudiant,0,96854,9,Mauvais,Urbaine,0
659,49,H,160248,Étudiant,2,155119,9,Bon,Urbaine,0
660,27,H,103316,Étudiant,3,190464,12,Bon,Rurale,0
661,47,F,72820,Étudiant,1,255681,12,Bon,Urbaine,1
662,37,F,64707,Retraité,3,227546,12,Bon,Urbaine,1
663,21,F,179199,Étudiant,5,56326,12,Moyen,Urbaine,1
664,56,H,37281,Commerçant,4,162131,6,Bon,Urbaine,0
665,19,F,132665,Commerçant,3,243324,9,Moyen,Semi-urbaine,1
666,33,H,187969,Artisan,6,231718,9,Mauvais,Semi-urbaine,1
